,ticker,forecast_horizon,indicator,parameter,metric,value
285,AAPL,10,general,NA,long_pct,0.2413793103448276
286,AAPL,10,general,NA,short_pct,0.14019219898247598
287,AAPL,10,general,NA,mean_returns,1.2880675525359335
288,AAPL,10,general,NA,volatility,7.720812095514197
289,AAPL,10,general,NA,mean_volume,435751355.6811758
290,AAPL,10,general,NA,trend_p-value,0.12372177955747632
291,AAPL,10,general,NA,position_p-value,0.31985179347109904
292,AAPL,10,sma,14,above_sma_pct,0.592048238175994
293,AAPL,10,sma,14,above_sma_bullish_pct,0.6148949713558243
294,AAPL,10,sma,14,below_sma_bullish_pct,0.6004618937644342
295,AAPL,10,sma,14,sma_p-value,0.32728951415537
296,AAPL,10,sma,20,above_sma_pct,0.6061805162992274
297,AAPL,10,sma,20,above_sma_bullish_pct,0.6142368666459435
298,AAPL,10,sma,20,below_sma_bullish_pct,0.600956937799043
299,AAPL,10,sma,20,sma_p-value,0.26804051719782107
300,AAPL,10,sma,50,above_sma_pct,0.6547955530431505
301,AAPL,10,sma,50,above_sma_bullish_pct,0.620431654676259
302,AAPL,10,sma,50,below_sma_bullish_pct,0.5873362445414847
303,AAPL,10,sma,50,sma_p-value,0.17225432451287065
304,AAPL,10,sma,100,above_sma_pct,0.693800640663275
305,AAPL,10,sma,100,above_sma_bullish_pct,0.6162411732753938
306,AAPL,10,sma,100,below_sma_bullish_pct,0.5926153846153847
307,AAPL,10,sma,100,sma_p-value,0.45375667785053975
308,AAPL,10,rsi,14,overbought_pct,0.14056905973242886
309,AAPL,10,rsi,14,overbought_bullish_pct,0.660857908847185
310,AAPL,10,rsi,14,oversold_pct,0.025061239871867345
311,AAPL,10,rsi,14,oversold_bullish_pct,0.5939849624060151
312,AAPL,10,rsi,14,trend_change_accuracy,0.33116883116883117
313,AAPL,10,rsi,14,overbought_p-value,0.006074357137495826
314,AAPL,10,rsi,14,oversold_p-value,0.4270429719113121
315,AAPL,10,rsi,28,overbought_pct,0.06123987186734502
316,AAPL,10,rsi,28,overbought_bullish_pct,0.64
317,AAPL,10,rsi,28,oversold_pct,0.000942151874882231
318,AAPL,10,rsi,28,oversold_bullish_pct,1.0
319,AAPL,10,rsi,28,trend_change_accuracy,0.3274336283185841
320,AAPL,10,rsi,28,overbought_p-value,0.24987187951022577
321,AAPL,10,rsi,28,oversold_p-value,
322,AAPL,10,rsi,42,overbought_pct,0.036555492745430566
323,AAPL,10,rsi,42,overbought_bullish_pct,0.6288659793814433
324,AAPL,10,rsi,42,oversold_pct,0.0
325,AAPL,10,rsi,42,oversold_bullish_pct,
326,AAPL,10,rsi,42,trend_change_accuracy,0.3787878787878788
327,AAPL,10,rsi,42,overbought_p-value,0.47557901815923753
328,AAPL,10,rsi,42,oversold_p-value,
329,AAPL,10,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_buy_bullish_pct,0.6277217206585236
330,AAPL,10,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_sell_bullish_pct,0.6122905027932961
331,AAPL,10,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_buy_bullish_pct,0.5766590389016019
332,AAPL,10,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_sell_bullish_pct,0.6030211480362537
333,AAPL,10,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_signal_accuracy,0.5826170009551098
334,AAPL,10,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_signal_accuracy,0.45907473309608543
335,AAPL,10,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_buy_p-value,0.09667300876733231
336,AAPL,10,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_sell_p-value,0.25909007601418904
337,AAPL,10,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_buy_p-value,0.1823055909494682
338,AAPL,10,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_sell_p-value,0.12717556798102958
339,AAPL,10,ppo,"{'fastperiod': 12, 'slowperiod': 26}",positive_ppo_pct,0.6191822121726023
340,AAPL,10,ppo,"{'fastperiod': 12, 'slowperiod': 26}",positive_ppo_bullish_pct,0.6214242239805234
341,AAPL,10,ppo,"{'fastperiod': 12, 'slowperiod': 26}",negative_ppo_bullish_pct,0.5888174171202375
342,AAPL,10,ppo,"{'fastperiod': 12, 'slowperiod': 26}",ppo_p-value,0.05751707023975153
343,AAPL,10,bbands,20,above_bb_upperband_pct,0.08045977011494253
344,AAPL,10,bbands,20,above_bb_upperband_bullish_pct,0.6206088992974239
345,AAPL,10,bbands,20,below_bb_lowerband_pct,0.04277369511965329
346,AAPL,10,bbands,20,below_bb_lowerband_bullish_pct,0.6123348017621145
347,AAPL,10,bbands,20,above_bb_upperband_p-value,0.36787459721143345
348,AAPL,10,bbands,20,below_bb_lowerband_p-value,0.46679577455734067
349,AAPL,10,bbands,30,above_bb_upperband_pct,0.10175240248728094
350,AAPL,10,bbands,30,above_bb_upperband_bullish_pct,0.6296296296296297
